iter	Passed	Remaining
390	688	1072
391	689	1069
392	690	1066
393	693	1066
394	694	1064
395	695	1061
396	697	1059
397	698	1056
398	699	1053
399	700	1050
400	701	1047
401	702	1044
402	703	1042
403	704	1039
404	705	1036
405	707	1035
406	708	1032
407	709	1030
408	710	1027
409	711	1024
410	712	1021
411	713	1019
412	714	1016
413	716	1013
414	717	1010
415	718	1007
416	719	1005
417	720	1003
418	722	1001
419	723	998
420	724	996
421	725	993
422	726	990
423	727	988
424	728	985
425	729	982
426	730	980
427	731	977
428	732	974
429	733	972
430	735	971
431	737	969
432	739	967
433	740	966
434	742	964
435	743	962
436	745	960
437	747	958
438	748	956
439	750	955
440	752	954
441	753	951
442	754	948
443	755	946
444	756	943
445	757	941
446	758	938
447	759	936
448	760	933
449	761	931
450	762	928
451	763	926
452	765	924
453	766	922
454	767	919
455	768	917
456	769	914
457	770	912
458	771	909
459	772	907
460	773	904
461	774	902
462	776	900
463	776	897
464	780	897
465	781	895
466	782	892
467	783	890
468	784	887
469	785	885
470	786	882
471	787	880
472	788	878
473	789	875
474	790	873
475	791	870
476	793	869
477	795	868
478	797	867
479	798	865
480	799	862
481	800	860
482	801	858
483	802	855
484	803	853
485	804	851
486	805	848
487	808	847
488	809	845
489	810	843
490	811	841
491	813	839
492	814	837
493	815	835
494	816	832
495	817	830
496	818	828
497	819	825
498	820	823
499	822	822
500	823	820
501	824	818
502	825	816
503	826	813
504	827	811
505	828	809
506	829	806
507	830	804
508	831	802
509	832	800
510	833	798
511	834	795
512	837	795
513	839	793
514	840	791
515	841	789
516	842	786
517	843	784
518	844	782
519	845	780
520	846	778
521	847	775
522	848	773
523	849	771
524	850	769
525	852	768
526	853	766
527	854	764
528	855	762
529	856	759
530	857	757
531	858	755
532	859	753
533	860	751
534	861	749
535	862	747
536	863	744
537	867	745
538	869	743
539	870	741
540	872	739
541	873	737
542	874	736
543	875	734
544	877	732
545	878	730
546	883	731
547	884	729
548	886	727
549	887	726
550	888	724
551	890	722
552	891	720
553	892	718
554	893	716
555	897	716
556	898	714
557	900	713
558	901	711
559	903	709
560	906	709
561	908	707
562	909	705
563	911	704
564	912	702
565	913	700
566	914	698
567	915	696
568	916	694
569	917	692
570	918	690
571	919	688
572	920	686
573	921	684
574	922	682
575	925	681
576	927	679
577	928	677
578	929	675
579	930	673
580	931	671
581	932	669
582	933	667
583	934	665
584	935	663
585	936	661
586	937	659
587	939	658
588	941	656
589	942	654
590	943	652
591	944	650
592	945	648
593	946	646
594	947	644
595	948	642
596	949	640
597	950	638
598	951	636
599	952	634
600	955	634
601	957	632
602	958	630
603	958	628
604	959	626
605	960	624
606	961	622
607	962	620
608	963	618
609	964	616
610	965	614
611	966	613
612	968	611
613	970	610
614	972	608
615	973	606
616	975	605
617	976	603
618	977	601
619	978	599
620	979	597
621	980	595
622	981	593
623	982	591
624	984	590
625	985	589
626	986	587
627	987	585
628	989	583
629	990	581
630	991	579
631	992	577
632	992	575
633	993	573
634	994	571
635	995	570
636	998	568
637	999	567
638	1000	565
639	1001	563
640	1003	561
641	1004	559
642	1004	557
643	1005	556
644	1007	554
645	1008	552
646	1008	550
647	1010	548
648	1011	546
649	1013	545
650	1015	544
651	1016	542
652	1017	540
653	1018	538
654	1019	536
655	1020	535
656	1021	533
657	1022	531
658	1023	529
659	1024	527
660	1025	525
661	1027	524
662	1029	523
663	1030	521
664	1032	519
665	1033	518
666	1034	516
667	1035	514
668	1036	512
669	1037	510
670	1038	509
671	1039	507
672	1040	505
673	1043	504
674	1044	502
675	1045	501
676	1046	499
677	1047	497
678	1048	495
679	1049	493
680	1050	492
681	1051	490
682	1052	488
683	1053	486
684	1054	484
685	1058	484
686	1059	482
687	1060	480
688	1061	479
689	1062	477
690	1063	475
691	1064	473
692	1065	471
693	1066	470
694	1067	468
695	1068	466
696	1069	464
697	1071	463
698	1073	462
699	1074	460
700	1076	458
701	1077	457
702	1078	455
703	1079	453
704	1080	451
705	1081	450
706	1082	448
707	1083	446
708	1084	445
709	1086	443
710	1087	442
711	1088	440
712	1089	438
713	1090	436
714	1091	435
715	1092	433
716	1093	431
717	1094	430
718	1095	428
719	1096	426
720	1097	424
721	1100	423
722	1101	422
723	1103	420
724	1104	418
725	1105	417
726	1106	415
727	1107	413
728	1108	411
729	1109	410
730	1110	408
731	1111	406
732	1112	405
733	1114	403
734	1116	402
735	1117	400
736	1118	399
737	1119	397
738	1120	395
739	1121	394
740	1122	392
741	1123	390
742	1124	388
743	1125	387
744	1126	385
745	1127	384
746	1129	382
747	1130	381
748	1132	379
749	1133	377
750	1134	376
751	1135	374
752	1136	372
753	1136	370
754	1137	369
755	1139	367
756	1139	365
757	1140	364
758	1142	362
759	1145	361
760	1146	360
761	1147	358
762	1148	356
763	1149	355
764	1150	353
765	1151	351
766	1152	350
767	1153	348
768	1154	346
769	1155	345
770	1157	343
771	1159	342
772	1160	340
773	1161	339
774	1163	337
775	1164	336
776	1165	334
777	1166	332
778	1167	331
779	1168	329
780	1169	327
781	1170	326
782	1172	324
783	1174	323
784	1175	321
785	1176	320
786	1177	318
787	1178	317
788	1179	315
789	1180	313
790	1181	312
791	1182	310
792	1183	308
793	1184	307
794	1185	305
795	1188	304
796	1189	303
797	1190	301
798	1191	299
799	1192	298
800	1193	296
801	1194	294
802	1195	293
803	1196	291
804	1197	290
805	1198	288
806	1199	286
807	1202	285
808	1203	284
809	1204	282
810	1205	281
811	1206	279
812	1207	277
813	1208	276
814	1209	274
815	1210	273
816	1211	271
817	1212	269
818	1213	268
819	1215	266
820	1217	265
821	1218	263
822	1219	262
823	1220	260
824	1221	259
825	1222	257
826	1223	255
827	1224	254
828	1225	252
829	1226	251
830	1227	249
831	1228	248
832	1230	246
833	1232	245
834	1233	243
835	1234	242
836	1235	240
837	1236	239
838	1237	237
839	1238	235
840	1239	234
841	1240	232
842	1241	231
843	1242	229
844	1243	228
845	1246	226
846	1247	225
847	1248	223
848	1250	222
849	1251	220
850	1252	219
851	1253	217
852	1254	216
853	1255	214
854	1256	213
855	1257	211
856	1258	209
857	1263	209
858	1266	207
859	1267	206
860	1269	204
861	1270	203
862	1272	201
863	1273	200
864	1276	199
865	1277	197
866	1278	196
867	1279	194
868	1280	193
869	1281	191
870	1282	189
871	1283	188
872	1284	186
873	1285	185
874	1286	183
875	1287	182
876	1290	181
877	1291	179
878	1292	177
879	1293	176
880	1294	174
881	1295	173
882	1296	171
883	1297	170
884	1298	168
885	1299	167
886	1300	165
887	1302	164
888	1303	162
889	1305	161
890	1307	159
891	1308	158
892	1309	156
893	1310	155
894	1311	153
895	1312	152
896	1312	150
897	1313	149
898	1315	147
899	1316	146
900	1317	144
901	1320	143
902	1321	141
903	1322	140
904	1323	138
905	1324	137
906	1325	135
907	1326	134
908	1327	132
909	1328	131
910	1329	129
911	1331	128
912	1331	126
913	1334	125
914	1335	124
915	1336	122
916	1338	121
917	1339	119
918	1340	118
919	1341	116
920	1342	115
921	1343	113
922	1344	112
923	1345	110
924	1346	109
925	1347	107
926	1349	106
927	1351	104
928	1352	103
929	1353	101
930	1354	100
931	1356	98
932	1357	97
933	1358	95
934	1358	94
935	1359	92
936	1361	91
937	1363	90
938	1364	88
939	1365	87
940	1367	85
941	1368	84
942	1369	82
943	1370	81
944	1371	79
945	1371	78
946	1372	76
947	1374	75
948	1375	73
949	1376	72
950	1378	71
951	1379	69
952	1381	68
953	1382	66
954	1383	65
955	1384	63
956	1385	62
957	1386	60
958	1387	59
959	1388	57
960	1389	56
961	1390	54
962	1393	53
963	1395	52
964	1396	50
965	1397	49
966	1398	47
967	1399	46
968	1400	44
969	1401	43
970	1402	41
971	1403	40
972	1404	38
973	1407	37
974	1409	36
975	1410	34
976	1411	33
977	1412	31
978	1413	30
979	1414	28
980	1415	27
981	1416	25
982	1417	24
983	1418	23
984	1419	21
985	1421	20
986	1423	18
987	1424	17
988	1425	15
989	1426	14
990	1427	12
991	1428	11
992	1429	10
993	1430	8
994	1431	7
995	1432	5
996	1433	4
997	1434	2
998	1437	1
999	1438	0
